id,name,assoc_names,original_language,authors,genres,tags,start_year,licensed,original_publisher,english_publisher,complete_original,chapters_original_current,complete_translated,chapter_latest_translated,release_freq,activity_week_rank,activity_month_rank,activity_all_time_rank,on_reading_lists,reading_list_month_rank,reading_list_all_time_rank,rating,rating_votes,related_series_ids,recommended_series_ids,recommendation_list_ids
28303,Game of Divine Thrones,['신좌의 게임'],korean,"['jang myeongsu', '장명수']","['action', 'adventure', 'fantasy', 'harem', 'seinen', 'supernatural']","['calm protagonist', 'cold protagonist', 'confident protagonist', 'demi-humans', 'demon lord', 'demons', 'determined protagonist', 'dungeons', 'fantasy creatures', 'fantasy world', 'game elements', 'goddesses', 'gods', 'hard-working protagonist', 'level system', 'loyal subordinates', 'male protagonist', 'monster tamer', 'monsters', 'necromancer', 'overpowered protagonist', 'previous life talent', 'protagonist strong from the start', 'race change', 'ruthless protagonist', 'second chance', 'sword and magic', 'time travel', 'transported to another world', 'vampires', 'wars', 'weak to strong']",2016,True,breathe,wuxiaworld,True,275 chapters,False,v11c271,0.9,705,684,1168,1817,637,2649,3.2,82,,[5764],"[21241, 13634, 12536, 11416, 9938]"
17593,"Godly Farmer Doctor: Arrogant Husband, Can’t Afford to Offend!",['傲娇夫君，惹不起！'],chinese,"['xiao xiao mu tong', '小小牧童']","['josei', 'romance', 'wuxia']","['affair', 'amnesia', 'ancient china', 'arranged marriage', 'beautiful female lead', 'calm protagonist', 'caring protagonist', 'clever protagonist', 'complex family relationships', 'cooking', 'farming', 'female protagonist', 'generals', 'handsome male lead', 'imperial harem', 'love triangles', 'medical knowledge', 'modern knowledge', 'older love interests', 'pill concocting', 'politics', 'poor protagonist', 'poor to rich', 'royalty', 'schemes and conspiracies', 'slow romance', 'time travel', 'transmigration']",2017,False,yunqi,,True,1891 chapters,False,c827,0.7,135,152,227,4648,190,899,3.8,128,,[22848],"[22960, 19671, 18874, 18229, 18179]"
38723,Gossip King,['纯禽记者'],chinese,"['gao leng de mu xiao jing', '高冷的沐小婧']","['comedy', 'drama', 'josei', 'romance']","['male protagonist', 'modern day', 'photography', 'reincarnation', 'weak to strong', 'wealthy characters']",2021,True,zongheng,tapread,True,,False,c103,1.0,3098,4217,8322,87,7949,8633,2.7,3,,,
30723,"Greetings, Ninth Uncle",['九叔万福'],chinese,"['september flowing fire', '九月流火']","['drama', 'historical', 'josei', 'romance']","['ancient china', 'aristocracy', 'beautiful female lead', 'broken engagement', 'calm protagonist', 'clever protagonist', 'determined protagonist', 'devoted love interests', 'doting love interests', 'female protagonist', 'flashbacks', 'handsome male lead', 'hard-working protagonist', 'love interest falls in love first', 'older love interests', 'possessive characters', 'pragmatic protagonist', 'pregnancy', 'royalty', 'schemes and conspiracies', 'second chance', 'secret identity', 'tragic past', 'twins']",2019,,jjwxc,,True,144 chapters,False,c66 part3,1.9,47,43,803,4311,70,1016,4.6,197,,[34370],"[24993, 24832, 24694, 24460, 24387]"
16293,Horror University,"['High School Horror', '恐怖高校']",chinese,"['da song fu hong fang', '大宋福红坊']","['horror', 'xuanhuan']","['ghosts', 'male protagonist']",2018,True,zongheng,tapread,True,1276 chapters,False,c297,1.0,3521,3388,7088,200,5615,7546,3.4,16,,,
29440,I Became the Black Swan Mother of the White Swan Princess,"['IBBSMWSP', '백조 공주님의 흑조 엄마가 되었습니다']",korean,"['aperta', '아페르타']","['drama', 'fantasy', 'romance', 'shoujo', 'slice of life', 'supernatural']","['adopted children', 'animal characteristics', 'animal rearing', 'beautiful female lead', 'calm protagonist', 'childcare', 'curses', 'cute children', 'doting parents', 'empires', 'european ambience', 'familial love', 'family', 'female protagonist', 'handsome male lead', 'kingdoms', 'love interest falls in love first', 'magic', 'mob protagonist', 'nobles', 'persistent love interests', 'royalty', 'shapeshifters', 'sword and magic', 'tragic past', 'transformation ability', 'transmigration', 'transported to another world', 'younger sisters']",2020,,gaha publishing,,True,148 chapters,False,c39,16.1,244,425,1850,4475,530,959,4.6,114,,[21032],"[25222, 24810, 24694, 23993, 23950]"
35289,I Heard That I’m Super Fierce,['听说我超凶的[综恐]'],chinese,['曲奇碎可可'],"['action', 'adventure', 'fantasy']","['female protagonist', 'ghosts', 'protagonist strong from the start', 'quirky characters']",,,,,False,152 chapters,False,c82,0.6,721,860,4450,340,1564,6436,3.5,31,,[24274],
38437,I Only Treat Villains,"['I Only Deal With Villains', '악당만 취급합니다']",korean,['moon sihyun'],"['adventure', 'comedy', 'drama', 'fantasy', 'harem', 'romance', 'shoujo']","['adapted to manhwa', 'aristocracy', 'beautiful female lead', 'calm protagonist', 'character growth', 'clever protagonist', 'cold love interests', 'cold protagonist', 'crime', 'devoted love interests', 'different social status', 'doting love interests', 'european ambience', 'female protagonist', 'glasses-wearing love interests', 'handsome male lead', 'hard-working protagonist', 'healers', 'love interest falls in love first', 'magic', 'multiple personalities', 'nobles', 'reincarnated in another world', 'reincarnation', 'reverse harem', 'store owner', 'strong love interests']",2020,False,kakaopage,,False,160 chapters,False,c8,5.8,676,1010,5315,1148,1113,3645,4.2,22,,[32539],"[25224, 25222, 24965, 23322, 23134]"
23805,I Really Am a Slag Shou!,"['IRASS', 'Tôi thực sự là tra thụ', '我真的是渣受']",chinese,"['your glory', '你的荣光']","['comedy', 'drama', 'romance', 'shounen ai', 'tragedy', 'yaoi']","['ancient times', 'cute protagonist', 'dense protagonist', 'episodic', 'handsome male lead', 'love interest falls in love first', 'male yandere', 'misunderstandings', 'modern day', 'mpreg', 'naive protagonist', 'older love interests', 'possessive characters', 'r*pe victim becomes lover', 'r*pe', 'system administrator', 'transmigration', 'world hopping']",2019,,jjwxc,,True,181 chapters,False,c126,1.1,36,23,794,5012,40,782,4.5,188,,[20139],"[25231, 25207, 24913, 24868, 24158]"
38075,I Transmigrated into the Villainess of a Historical Reverse-Harem Game,['사극 역하렘 게임의 악역에 빙의했다'],korean,['박록주'],"['fantasy', 'harem', 'romance', 'shoujo', 'supernatural']","['aristocracy', 'arranged marriage', 'beautiful female lead', 'cold love interests', 'contracts', 'doting love interests', 'female protagonist', 'handsome male lead', 'hard-working protagonist', 'hated protagonist', 'mob protagonist', 'nobles', 'obsessive love', 'possessive characters', 'reverse harem', 'transmigration', 'unrequited love', 'villainess noble girls', 'weak to strong', 'wealthy characters']",2020,False,ridibooks,,False,,False,c11,5.1,822,1192,5735,775,1490,4527,3.5,13,,[24154],"[23968, 23351, 23340, 22745, 22737]"
32309,I Woke up and Was Pregnant,['一觉醒来我怀孕了'],chinese,['楼不危'],"['drama', 'romance', 'slice of life', 'yaoi']","['calm protagonist', 'character growth', 'cold love interests', 'complex family relationships', 'determined protagonist', 'devoted love interests', 'disabilities', 'doting love interests', 'early romance', 'famous protagonist', 'handsome male lead', 'hard-working protagonist', 'hiding true identity', 'modern day', 'mpreg', 'protagonist falls in love first', 'showbiz', 'wealthy characters']",2019,False,jjwxc,,False,141 chapters,False,c80,2.4,555,280,2293,1591,375,2932,3.9,59,,[33892],"[23830, 23189, 22906, 22766, 21623]"
10717,Immortal and Martial Dual Cultivation,"['IMDC', '仙武同修']",chinese,"['moon like fire', 'yuè rú huǒ', '月如火']","['action', 'adventure', 'fantasy', 'martial arts', 'shounen', 'xianxia', 'xuanhuan']","['alchemy', 'beast companions', 'bloodlines', 'body tempering', 'buddhism', 'clan building', 'crafting', 'cultivation', 'demons', 'dragons', 'inheritance', 'male protagonist', 'nobles', 'pill concocting', 'romantic subplot', 'ruthless protagonist', 'transported to another world', 'unique cultivation technique', 'weak to strong']",2008,True,zongheng,gravity tales,True,2549 chapters,False,c2259,0.5,131,145,172,5141,143,749,3.3,234,,[8075],"[24920, 22621, 21902, 17058, 10351]"
